    T/O      Fuel     Fuel     Payld    Block    Block    Block    Block    Block    Block    Climb    Climb    Climb    Climb    Climb    Climb    ICA      Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Cruise   Descent  Descent  Descent  Descent  Descent  Descent  Reserve  TOFL     
    Mass     Load     Vol.     Mass     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Alt.     Mach     Dist.    Time     Fuel     NOx      HC       CO       Dist.    Time     Fuel     NOx      HC       CO       Fuel     Dist.    
    kg.      kg.      %Cap.    kg.      nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      ft.         nm.      min.     kg.      kg.      kg.      kg.      nm.      min.     kg.      kg.      kg.      kg.      kg.      ft.      s                                       
  330899.   31899.     13.0       0.    1000.     150.   25354.    465.4     0.41     63.4     100.      15.    6058.    190.6     0.00      2.5   40000.    0.845     762.      94.   14774.    211.9     0.00     27.7     138.      23.     994.      3.7     0.29     21.9    9048.    4133.         
  352005.   53005.     21.6       0.    2000.     274.   45835.    776.7     0.41     99.1     112.      17.    6656.    209.2     0.00      2.8   40000.    0.845    1750.     217.   34653.    504.6     0.00     63.2     138.      23.     999.      3.7     0.29     21.9    9673.    4303.         
  374116.   75116.     30.6       0.    3000.     398.   67291.   1113.3     0.41    134.2     125.      18.    7332.    230.0     0.00      3.1   40000.    0.845    2736.     339.   55426.    820.4     0.00     97.9     139.      23.    1005.      3.7     0.30     22.0   10328.    4536.         
  397469.   98469.     40.1       0.    4000.     521.   89946.   1488.4     0.39    167.1     144.      20.    8190.    261.7     0.00      3.6   40000.    0.845    3722.     461.   77253.   1163.9     0.00    131.7     134.      22.     976.      3.7     0.28     20.6   11025.    4798.         
  422088.  123088.     50.1       0.    5000.     645.  113836.   1893.0     0.39    199.8     164.      23.    9173.    291.6     0.00      4.0   40000.    0.845    4700.     582.  100151.   1538.5     0.00    163.8     135.      22.     984.      3.7     0.28     20.7   11754.    5077.         
  448264.  149264.     60.8       0.    6000.     769.  139235.   2333.5     0.38    232.3     154.      22.    9199.    301.7     0.00      4.0   38000.    0.845    5719.     708.  125555.   1969.0     0.00    197.5     128.      21.     954.      3.6     0.26     19.5   12531.    5674.         
  476079.  177079.     72.1       0.    7000.     893.  166226.   2820.8     0.37    264.4     155.      22.    9636.    322.2     0.00      4.3   36000.    0.845    6721.     832.  152122.   2435.9     0.00    229.9     124.      20.     940.      3.6     0.25     18.9   13356.    6419.         
  505432.  206432.     84.1       0.    8000.    1017.  194708.   3348.1     0.36    296.8     170.      24.   10575.    354.9     0.00      4.7   36000.    0.845    7708.     954.  179671.   2930.5     0.00    262.2     122.      20.     934.      3.6     0.25     18.6   14227.    7272.         
  536858.  237858.     96.9       0.    9000.    1141.  225203.   3942.5     0.36    327.4     175.      25.   11268.    382.5     0.00      5.0   34000.    0.845    8705.    1077.  209461.   3497.3     0.00    292.5     120.      20.     947.      3.6     0.25     18.6   15158.    8265.                                                
  336216.   32216.     13.1    5000.    1000.     151.   25582.    472.3     0.41     63.4     103.      15.    6195.    194.8     0.00      2.6   40000.    0.845     759.      94.   14857.    214.7     0.00     27.5     139.      23.    1003.      3.7     0.30     22.1    9136.    4175.         
  357558.   53558.     21.8    5000.    2000.     274.   46294.    789.7     0.41     99.0     115.      17.    6812.    213.9     0.00      2.8   40000.    0.845    1746.     216.   34947.    512.8     0.00     62.8     139.      23.    1007.      3.7     0.30     22.1    9767.    4352.         
  380041.   76041.     31.0    5000.    3000.     397.   68106.   1141.9     0.39    132.5     132.      19.    7588.    243.2     0.00      3.3   40000.    0.845    2734.     338.   56014.    835.9     0.00     97.3     134.      22.     976.      3.7     0.28     20.6   10438.    4603.         
  403614.   99614.     40.6    5000.    4000.     521.   90981.   1517.9     0.39    166.3     148.      21.    8424.    269.0     0.00      3.7   40000.    0.845    3716.     460.   78045.   1186.1     0.00    130.6     135.      22.     984.      3.7     0.28     20.7   11136.    4868.         
  428659.  124659.     50.8    5000.    5000.     645.  115283.   1930.6     0.38    198.3     140.      20.    8463.    278.1     0.00      3.7   38000.    0.845    4733.     586.  102338.   1589.8     0.00    163.8     128.      21.     954.      3.6     0.26     19.6   11879.    5185.         
  455154.  151154.     61.6    5000.    6000.     769.  140993.   2382.9     0.38    231.2     158.      23.    9462.    309.9     0.00      4.1   38000.    0.845    5713.     707.  127040.   2010.2     0.00    196.1     129.      21.     962.      3.6     0.26     19.7   12664.    5853.         
  483391.  179391.     73.1    5000.    7000.     893.  168391.   2881.2     0.37    263.5     161.      23.    9951.    332.8     0.00      4.4   36000.    0.845    6715.     831.  153966.   2485.6     0.00    228.8     125.      20.     947.      3.6     0.25     19.0   13502.    6625.         
  513174.  209174.     85.2    5000.    8000.    1017.  197292.   3421.2     0.36    295.6     176.      25.   10914.    365.7     0.00      4.9   36000.    0.845    7701.     953.  181908.   2992.8     0.00    260.7     123.      20.     942.      3.6     0.25     18.8   14385.    7509.         
  545093.  241093.     98.2    5000.    9000.    1140.  228263.   4034.5     0.36    325.5     182.      26.   11689.    396.8     0.00      5.2   34000.    0.845    8697.    1076.  212092.   3575.0     0.00    290.2     121.      20.     954.      3.6     0.25     18.7   15333.    8539.                                            
  341540.   32540.     13.3   10000.    1000.     151.   25819.    479.9     0.41     63.4     106.      16.    6348.    199.6     0.00      2.7   40000.    0.845     755.      93.   14934.    217.4     0.00     27.2     140.      23.    1009.      3.8     0.30     22.2    9223.    4218.         
  363129.   54129.     22.0   10000.    2000.     274.   46769.    803.7     0.41     98.7     118.      17.    6990.    219.6     0.00      2.9   40000.    0.845    1741.     216.   35237.    521.2     0.00     62.3     140.      23.    1013.      3.8     0.30     22.2    9863.    4414.         
  385880.   76880.     31.3   10000.    3000.     397.   68842.   1162.7     0.39    132.1     135.      19.    7775.    248.9     0.00      3.4   40000.    0.845    2730.     338.   56555.    851.0     0.00     96.6     135.      22.     985.      3.7     0.28     20.8   10541.    4668.         
  409780.  100780.     41.0   10000.    4000.     521.   92033.   1547.9     0.39    165.5     153.      22.    8653.    275.8     0.00      3.8   40000.    0.845    3710.     459.   78861.   1209.2     0.00    129.5     137.      22.     992.      3.7     0.28     20.9   11249.    4937.         
